layer;mean_kurtosis;sd_kurtosis;corr_beauty_VS_metric;pvalue;
input_1;0.007839629898205632;0.005348363335206997;-0.33052624087193483;0.017840323990623817;
conv1_1;0.0323122104690833;0.0019151837326008545;0.04868239427696541;0.7344258231677531;
conv1_2;0.11600481805974877;0.005370223840567234;0.05251520767630265;0.7143734413253512;
pool1;0.11156084214530118;0.004852960045485151;0.034987083272083074;0.8074336967148965;
conv2_1;0.03883231330579975;0.0067217431273999175;0.2787880364160028;0.04758485301858488;
conv2_2;0.07786433228916605;0.005017639787033635;0.16805574172986704;0.238473390993703;
pool2;0.07133928437892258;0.005793492096119544;0.16663896848215967;0.24251195174575416;
conv3_1;0.12443124253789539;0.010374685510852555;-0.11681288527574642;0.41431145380748813;
conv3_2;0.13258994486215653;0.014887101909144537;-0.22804980341100137;0.10750384550829736;
conv3_3;0.451444307846542;0.05712366260407211;-0.028100858506040716;0.844810738765349;
pool3;0.23660005076433976;0.032801077419747846;0.008297863406809053;0.9539155346931849;
conv4_1;0.17951621574034102;0.017135232552220332;-0.3547490092662716;0.010640830051500468;
conv4_2;0.210444431726408;0.013000436896057104;-0.2964204831850665;0.03467703894746034;
conv4_3;0.5813029934825938;0.031437382848914;-0.18085700648180805;0.20406279691523052;
pool4;0.26648887792857856;0.015782273782755596;-0.10245802405424033;0.47433525294144896;
conv5_1;0.250719375628875;0.023347602899288986;0.25603413576318157;0.06975785493890106;
conv5_2;0.26771601324249444;0.024640552449518304;0.20496543575866613;0.14906924577796288;
conv5_3;0.7140889776409589;0.11014263454378914;0.1411081941183104;0.3233069970232332;
pool5;0.3393771502742326;0.05356982738060377;0.12809760310159668;0.3703493175681023;
flatten;0.3393771502742326;0.05356982738060377;0.12809760310159668;0.3703493175681023;
fc6/relu;0.08026377574694449;0.00998106860201432;-0.06750119447827087;0.6378966554036232;
fc7/relu;0.2259921513116267;0.040474714305753896;0.06148704909114134;0.6681958671679006;
##############
bdd;BIGTEST
weights;vggface
metric;kurtosis
date:;2021-06-22
coeff_scope: ;0.11611727251481954
coeff_reglog: ;0.16111024364817017
